Date,Open,High,Low,Close,Adj Close,Volume
2011-04-04,282.220001,288.380005,281.399994,286.420013,213.761627,5457340
2011-04-05,289.600006,289.600006,281.820007,284.950012,212.664505,5036870
2011-04-06,284.000000,288.339996,283.000000,285.790009,213.291428,8471455
2011-04-07,286.000000,291.600006,283.339996,289.149994,215.799042,6285310
2011-04-08,289.200012,292.089996,287.049988,289.940002,216.388641,7826220
2011-04-11,287.440002,287.980011,280.790009,281.970001,210.440460,7885465
2011-04-13,279.000000,289.179993,278.869995,287.660004,214.687027,5860385
2011-04-15,285.209991,291.579987,284.320007,285.980011,213.433228,6912525
2011-04-18,286.000000,290.000000,276.880005,277.959991,207.447693,7108325
2011-04-19,276.799988,283.359985,276.440002,281.869995,210.365829,4305525
2011-04-20,284.399994,290.559998,283.000000,289.600006,216.134888,3784850
2011-04-21,289.799988,291.559998,287.730011,289.510010,216.067749,4924225
2011-04-25,279.600006,281.700012,274.200012,275.459991,205.581909,20508745
2011-04-26,277.559998,277.559998,267.730011,271.269989,202.454803,14093040
2011-04-27,274.239990,274.399994,266.600006,268.769989,200.589005,9635485
2011-04-28,270.980011,270.980011,264.820007,266.739990,199.073944,10635175
2011-04-29,267.600006,268.559998,254.059998,257.320007,192.043625,15491240
2011-05-02,259.579987,259.600006,252.020004,255.289993,190.528595,9367700
2011-05-03,254.740005,259.100006,242.110001,246.080002,183.654984,22116145
2011-05-04,245.899994,249.800003,243.000000,247.119995,184.431122,14179185
2011-05-05,247.979996,249.800003,240.529999,241.970001,180.587570,8260385
2011-05-06,242.399994,252.979996,242.399994,251.639999,187.804504,11581670
2011-05-09,252.020004,253.710007,246.250000,247.550003,184.752045,5076885
2011-05-10,247.990005,248.500000,243.600006,245.740005,183.401199,7412830
2011-05-11,245.000000,248.949997,244.800003,245.649994,183.334061,8275310
2011-05-12,244.600006,247.970001,240.199997,241.130005,179.960663,6511545
2011-05-13,242.100006,251.960007,241.729996,248.940002,185.789429,10011215
2011-05-16,248.320007,248.320007,243.639999,244.880005,182.759384,3966445
2011-05-17,245.220001,248.300003,241.309998,243.880005,182.013062,5716775
2011-05-18,244.600006,246.399994,240.440002,243.589996,181.796616,6481770
