"Date","Open","High","Low","Close"
"21 May 2018","14933","14958.75","14727.9","14749.8"
"18 May 2018","14926","14939.15","14837.55","14864.5"
"17 May 2018","15078.2","15105.2","14934","14961.1"
"16 May 2018","15070.4","15183.4","14971.8","15047.2"
"15 May 2018","15180.65","15456.5","15124","15186.7"
"14 May 2018","15144.05","15228.25","15075.4","15168.8"
"11 May 2018","15020.75","15168.55","14991.1","15156.45"
"10 May 2018","15046.85","15074.6","14948.95","14987.95"
"09 May 2018","14917.45","15052.9","14886.85","15020.2"
"08 May 2018","14953.65","14994.45","14873.5","14976.15"
"07 May 2018","14684.1","14836.4","14679.95","14795.75"
"04 May 2018","14661.25","14680.65","14592.2","14655.7"
"03 May 2018","14611.15","14690.05","14577.6","14654.15"
"02 May 2018","14647.45","14720.25","14580.1","14624.75"
"30 Apr 2018","14604.45","14649.1","14553.2","14593.35"
"27 Apr 2018","14332.1","14587.7","14332.1","14560.05"
"26 Apr 2018","14176.05","14366.25","14125.6","14323.45"
"25 Apr 2018","14263.2","14263.2","14101.45","14162.15"
"24 Apr 2018","14212.65","14322.55","14210.05","14281.1"
"23 Apr 2018","14212.75","14258.2","13959.85","14199.1"
"20 Apr 2018","14296.5","14296.5","14113.1","14163.4"
"19 Apr 2018","14350.65","14350.65","14239.9","14295.25"
"18 Apr 2018","14478.6","14478.6","14260.6","14288.75"
"17 Apr 2018","14435.35","14453.45","14360.85","14420.65"
"16 Apr 2018","14253.15","14421.35","14240.8","14405.55"
"13 Apr 2018","14332.15","14434.1","14241","14323.55"
"12 Apr 2018","14201.55","14324.25","14146.3","14297.85"
"11 Apr 2018","14255","14262.3","14115.6","14215.9"
"10 Apr 2018","14179.75","14300.25","14165.45","14262.8"
"09 Apr 2018","13995.3","14182.85","13982","14146.4"
"06 Apr 2018","13971.75","14053","13899.05","14017.2"
"05 Apr 2018","13749.5","13996.25","13742.05","13967.25"
"04 Apr 2018","13814.15","13922.2","13591.6","13614.45"
"03 Apr 2018","13639.3","13840.7","13621.6","13824.4"
"02 Apr 2018","13645.3","13715.05","13541.15","13687.65"
"28 Mar 2018","13701.45","13727.15","13656.7","13687.9"
"27 Mar 2018","13758.2","13839.15","13694.95","13767.75"
"26 Mar 2018","13422.85","13703.1","13407.25","13674.7"
"23 Mar 2018","13473.55","13482.2","13379.25","13418.35"
"22 Mar 2018","13743.45","13773.1","13657.25","13681.55"
"21 Mar 2018","13791.85","13856.15","13706","13738.6"
"20 Mar 2018","13686.35","13807.35","13652.8","13700.05"
"19 Mar 2018","13911.75","13942.5","13718.5","13754.15"
"16 Mar 2018","14062.65","14067.5","13859.95","13885.75"
"15 Mar 2018","14116.4","14152.2","14042.9","14070.4"
"14 Mar 2018","14007.45","14143.3","13918.2","14113.85"
"13 Mar 2018","14008.1","14195.1","13969","14058.1"
"12 Mar 2018","13859.1","14053.35","13822.35","14026.6"
"09 Mar 2018","13920.3","13923.35","13745.1","13766.25"
"08 Mar 2018","13794.85","13898.35","13649.4","13866.45"
"07 Mar 2018","13796.9","13808.9","13686.45","13704.55"
"06 Mar 2018","14139.35","14185.95","13810.1","13856.8"
"05 Mar 2018","14075.15","14080.15","13968.15","14047.2"
"01 Mar 2018","14170.1","14275.9","14084.95","14112.35"
"28 Feb 2018","14252.3","14274.2","14140.3","14210.05"
"27 Feb 2018","14557.25","14562.35","14381.9","14401.65"
"26 Feb 2018","14350.7","14555.9","14333.2","14544.8"
"23 Feb 2018","14094.8","14305.75","14074.1","14279.9"
"22 Feb 2018","13984.1","14093.45","13960.3","14072.8"
"21 Feb 2018","14073.85","14081.9","13964.55","14040.25"
"20 Feb 2018","14169.8","14220.2","13983.7","14010.7"
"19 Feb 2018","14294.4","14295.5","14031.1","14138.75"
"16 Feb 2018","14358.1","14419.5","14143.95","14168.6"
"15 Feb 2018","14247.45","14402.8","14206.55","14302.5"
"14 Feb 2018","14455.75","14457.9","14140.85","14216"
"12 Feb 2018","14306.45","14404.45","14270.55","14382.25"
"09 Feb 2018","14228.2","14286.35","14154.25","14223.55"
"08 Feb 2018","14420.45","14609.55","14343.95","14485.55"
"07 Feb 2018","14573.3","14582.2","14308.85","14369.65"
"06 Feb 2018","14044.9","14627.1","13993.75","14432.2"
"05 Feb 2018","14534.55","14649.95","14505.85","14582.4"
"02 Feb 2018","15155.3","15155.45","14766.2","14812.7"
"01 Feb 2018","15248.6","15497.45","15142.65","15275.35"
"31 Jan 2018","15145.4","15352.9","15132.25","15309.25"
"30 Jan 2018","15382.8","15385.4","15216.2","15230.65"
"29 Jan 2018","15370.15","15515.35","15337.6","15402.65"
"25 Jan 2018","15208.45","15423.1","15099.95","15374.5"
"24 Jan 2018","15273.2","15341.3","15198.7","15215.7"
"23 Jan 2018","15190.85","15354.55","15181.75","15333.85"
"22 Jan 2018","15068.45","15176.25","15012.85","15155.15"
"19 Jan 2018","14908.8","15080.95","14803.8","15049.9"
"18 Jan 2018","14944.85","15005.85","14792.15","14854.6"
"17 Jan 2018","14531.45","14722.2","14530.35","14696.1"
"16 Jan 2018","14595.45","14599.9","14480.4","14546.15"
"15 Jan 2018","14430.65","14571.85","14424.1","14558.6"
"12 Jan 2018","14331.9","14381.5","14244.9","14368.2"
"11 Jan 2018","14292.85","14323.55","14234.15","14293.45"
"10 Jan 2018","14324.3","14328.25","14221.6","14282.4"
"09 Jan 2018","14334.55","14381.8","14263.65","14322.75"
"08 Jan 2018","14294.4","14342.4","14284.3","14305.8"
"05 Jan 2018","14115.9","14256.65","14106.55","14234.2"
"04 Jan 2018","14092.75","14114.1","14043.35","14100.15"
"03 Jan 2018","14092.9","14116.9","14054.8","14066.65"
"02 Jan 2018","14049.75","14082.85","13984.55","14046.5"
"01 Jan 2018","14152.1","14153.1","13988.7","14020.6"
"29 Dec 2017","14084.05","14155.85","14068.4","14139.65"
"28 Dec 2017","14056.4","14150.8","14045.95","14098.3"
"27 Dec 2017","14173.7","14211.65","14053.6","14087.7"
"26 Dec 2017","14144.45","14213.5","14101.1","14188.95"
"22 Dec 2017","14124.8","14158.35","14096.6","14134.2"
"21 Dec 2017","14129.65","14143.45","14073","14099.25"
"20 Dec 2017","14209.15","14211.9","14114.9","14130.75"
"19 Dec 2017","14113.3","14187.85","14104.55","14170.5"
"18 Dec 2017","13906.65","14186.85","13574.6","14088"
"15 Dec 2017","14060.85","14068.25","13990.95","14040.7"
"14 Dec 2017","13823.25","13903.35","13736.05","13879.4"
"13 Dec 2017","13852.9","13920.35","13734.1","13789.45"
"12 Dec 2017","14020.25","14021.6","13835.35","13842"
"11 Dec 2017","14046.85","14052.8","13959.1","14013.6"
"08 Dec 2017","13872.85","14011.25","13871.2","13994.6"
"07 Dec 2017","13754.3","13845.35","13705.8","13815.1"
"06 Dec 2017","13797.85","13823.2","13677.55","13698.9"
"05 Dec 2017","13792.4","13882.5","13756.25","13823.8"
"04 Dec 2017","13939.95","13942.25","13762","13804.6"
"01 Dec 2017","13975.35","13996.75","13868.2","13886.55"
"30 Nov 2017","14135.1","14143.7","13891.2","13927.55"
"29 Nov 2017","14192.2","14222.65","14153.3","14183.95"
"28 Nov 2017","14172.45","14254.75","14171.65","14205.65"
"27 Nov 2017","14117.85","14239.55","14110.9","14219.95"
"24 Nov 2017","14142.65","14190.2","14125.2","14160.4"
"23 Nov 2017","14148.55","14154.55","14043.85","14119.25"
"22 Nov 2017","14183.35","14197.9","14094.85","14110.45"
"21 Nov 2017","14185.8","14215.9","14136.55","14156.05"
"20 Nov 2017","14113.55","14168.75","14085.25","14155.6"
"17 Nov 2017","14150.25","14220.1","14084.4","14111.35"
"16 Nov 2017","13903","13998.7","13895.75","13953.85"
"15 Nov 2017","13864.15","13928.2","13850.1","13873.1"
"14 Nov 2017","13906.25","13954.4","13842.85","13889.8"
"13 Nov 2017","14018","14047","13901.7","13912.85"
"10 Nov 2017","13927.95","14049.55","13894.05","13989.8"
"09 Nov 2017","13949.35","13998.5","13894.55","13952.7"
"08 Nov 2017","13991.5","14028.3","13878.25","13907"
"07 Nov 2017","14095","14112.15","13904.3","13946.5"
"06 Nov 2017","14077.8","14125.2","14018.4","14042"
"03 Nov 2017","14108.85","14150.75","14028.7","14120.85"
"02 Nov 2017","14061.55","14114.4","14023","14046.4"
"01 Nov 2017","13901.35","14107.25","13878.15","14052.6"
"31 Oct 2017","13756.6","13851.85","13729.65","13809.6"
"30 Oct 2017","13672.1","13772.35","13625.5","13717.05"
"27 Oct 2017","13574.05","13744.35","13528.1","13661.35"
"26 Oct 2017","13610.25","13735.6","13544.1","13688.85"
"25 Oct 2017","13970","14007.75","13485.7","13674.45"
"24 Oct 2017","13605.9","13678.3","13515.25","13588"
"23 Oct 2017","13589.25","13632.5","13500.9","13565.85"
"19 Oct 2017","13700.55","13708.1","13507.65","13557.4"
"18 Oct 2017","13802.3","13860.75","13722.15","13746.1"
"17 Oct 2017","14011.45","14069.65","13936.25","13971.9"
"16 Oct 2017","14063.35","14102.1","13891.65","14003.7"
"13 Oct 2017","13831.35","14053.65","13822.1","13998.65"
"12 Oct 2017","13679.2","13830.3","13573.3","13806.7"
"11 Oct 2017","13813.9","13840.05","13618.1","13654"
"10 Oct 2017","13749.1","13785.75","13724.35","13768.95"
"09 Oct 2017","13675.9","13737","13653.05","13714.2"
"06 Oct 2017","13612.65","13696.65","13605.1","13657.45"
"05 Oct 2017","13638.2","13697.5","13585.95","13596.6"
"04 Oct 2017","13631.95","13700.8","13592.45","13637.15"
"03 Oct 2017","13658.7","13678.4","13554.15","13618.25"
"29 Sep 2017","13609.75","13672.45","13540.35","13568.9"
"28 Sep 2017","13442.8","13597.75","13298.3","13551.75"
"27 Sep 2017","13718.55","13724.5","13415","13443.7"
"26 Sep 2017","13583.2","13678.7","13526.05","13653.6"
"25 Sep 2017","13714.1","13714.9","13519.85","13611.15"
"22 Sep 2017","13913.15","13917.1","13694.95","13714.15"
"21 Sep 2017","14044.15","14080.6","13914.3","13969.65"
"20 Sep 2017","14090.75","14120.6","14046.85","14064.1"
"19 Sep 2017","14101.3","14162.45","14067.05","14132.5"
"18 Sep 2017","14015.1","14133.55","14011.7","14099.15"
